California,CA,39.37
Texas,TX,29.36
Florida,FL,21.73
New York,NY,19.34
Pennsylvania,PA,12.78
Illinois,IL,12.59
Ohio,OH,11.69
Georgia,GA,10.71
North Carolina,NC,10.6
Michigan,MI,9.97
New Jersey,NJ,8.88
Virginia,VA,8.59
Washington,WA,7.69
Arizona,AZ,7.42
Tennessee,TN,6.89
Massachusetts,MA,6.89
Indiana,IN,6.75
Missouri,MO,6.15
Maryland,MD,6.06
Wisconsin,WI,5.83
Colorado,CO,5.81
Minnesota,MN,5.66
South Carolina,SC,5.22
Alabama,AL,4.92
Louisiana,LA,4.65
Kentucky,KY,4.48
Oregon,OR,4.24
Oklahoma,OK,3.98
Connecticut,CT,3.56
Utah,UT,3.25
Iowa,IA,3.16
Nevada,NV,3.14
Arkansas,AR,3.03
Mississippi,MS,2.97
Kansas,KS,2.91
Puerto Rico,PR,2.86
New Mexico,NM,2.11
Nebraska,NE,1.94
Idaho,ID,1.83
West Virginia,WV,1.78
Hawaii,HI,1.41
New Hampshire,NH,1.37
Maine,ME,1.35
Montana,MT,1.08
Rhode Island,RI,1.06
Delaware,DE,0.99
South Dakota,SD,0.89
North Dakota,ND,0.77
Alaska,AK,0.73
District of Columbia,DC,0.71
Vermont,VT,0.62
Wyoming,WY,0.58